Borough,0
Total,27.09
Barking and Dagenham,22.05
Barnet,21.23
Bexley,21.18
Brent,23.18
Bromley,20.34
Camden,32.57
City of London,48.48
City of Westminster,39.98
Croydon,20.05
Ealing,25.57
Enfield,24.29
Greenwich,22.92
Hackney,26.8
Hammersmith and Fulham,30.72
Haringey,24.2
Harrow,21.96
Havering,21.8
Hillingdon,22.67
Hounslow,22.45
Islington,26.18
Kensington and Chelsea,44.44
Kingston upon Thames,24.12
Lambeth,24.57
Lewisham,26.02
Merton,24.54
Newham,27.89
Redbridge,28.72
Richmond upon Thames,21.21
Southwark,23.11
Sutton,18.02
Tower Hamlets,32.4
Waltham Forest,22.58
Wandsworth,28.85
