,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
City of London,-96.37254901960785,-81.2156862745098,-89.47058823529412,-91.70588235294117,-83.02777777777777,
Westminster,-94.86274509803921,-63.94117647058823,-75.62745098039215,-90.6470588235294,-76.49019607843137,33.7
Barking and Dagenham,-65.76470588235294,-28.098039215686274,34.23529411764706,-58.92156862745098,-61.8235294117647,24.41176470588235
Barnet,-73.19607843137256,-27.215686274509803,58.01960784313726,-68.29411764705883,-71.03921568627452,28.80392156862745
Bexley,-74.03921568627452,-28.41176470588235,23.50980392156863,-65.33333333333333,-64.98039215686275,26.372549019607842
Brent,-73.50980392156863,-28.15686274509804,58.92156862745098,-65.2156862745098,-67.37254901960785,27.45098039215686
Bromley,-76.98039215686275,-27.392156862745097,12.156862745098039,-71.37254901960785,-71.43137254901961,28.50980392156863
Camden,-89.7843137254902,-57.333333333333336,-26.58823529411765,-88.6078431372549,-77.54901960784314,32.56521739130435
Croydon,-78.01960784313725,-26.88235294117647,57.64705882352941,-71.45098039215686,-66.52941176470588,27.215686274509803
Ealing,-71.76470588235294,-27.03921568627451,36.07843137254902,-70.17647058823529,-68.54901960784314,28.0
Enfield,-67.25490196078431,-28.686274509803923,21.705882352941178,-62.294117647058826,-63.529411764705884,26.098039215686274
Hackney,-76.86274509803921,-24.58823529411765,28.705882352941178,-75.17647058823529,-71.52941176470588,29.88235294117647
Hammersmith and Fulham,-84.11764705882354,-40.27450980392157,-2.6470588235294117,-80.49019607843137,-76.7843137254902,34.926829268292686
Haringey,-71.45098039215686,-30.862745098039216,35.31372549019608,-69.88235294117646,-72.50980392156863,29.745098039215687
Harrow,-76.37254901960785,-32.19607843137255,31.666666666666668,-69.33333333333333,-68.41176470588235,27.88235294117647
Havering,-74.52941176470588,-30.88235294117647,-2.2941176470588234,-67.58823529411765,-65.2156862745098,26.176470588235293
Hillingdon,-75.37254901960785,-32.509803921568626,34.3921568627451,-82.74509803921569,-66.33333333333333,26.92156862745098
Hounslow,-70.05882352941177,-31.49019607843137,12.0,-67.74509803921569,-67.62745098039215,26.980392156862745
Islington,-86.07843137254902,-36.333333333333336,-7.568627450980392,-83.86274509803921,-77.3529411764706,34.354166666666664
Lambeth,-82.49019607843137,-30.0,-26.647058823529413,-82.11764705882354,-74.11764705882354,32.549019607843135
Lewisham,-67.50980392156863,-22.03921568627451,44.80392156862745,-70.27450980392157,-71.82352941176471,29.88235294117647
Merton,-75.76470588235294,-29.313725490196077,9.372549019607844,-74.6078431372549,-70.09803921568627,29.58823529411765
Newham,-77.88235294117646,-32.19607843137255,31.686274509803923,-73.47058823529412,-70.49019607843137,27.88235294117647
Redbridge,-65.76470588235294,-29.11764705882353,41.72549019607843,-70.23529411764706,-70.0,27.294117647058822
Richmond upon Thames,-79.0,-31.274509803921568,-0.3137254901960784,-74.72549019607843,-75.72549019607843,34.388888888888886
Southwark,-78.70588235294117,-39.294117647058826,-35.431372549019606,-80.43137254901961,-73.86274509803921,31.45098039215686
Sutton,-75.25490196078431,-34.78431372549019,8.862745098039216,-69.47058823529412,-65.82352941176471,27.313725490196077
Tower Hamlets,-85.11764705882354,-39.19607843137255,-52.35294117647059,-78.68627450980392,-78.3921568627451,32.627450980392155
Waltham Forest,-63.23529411764706,-29.0,24.313725490196077,-64.98039215686275,-70.25490196078431,28.294117647058822
Wandsworth,-77.62745098039215,-33.78431372549019,0.47058823529411764,-76.47058823529412,-76.52941176470588,33.627450980392155
Greenwich,-77.31372549019608,-28.098039215686274,-9.647058823529411,-66.7843137254902,-68.43137254901961,28.03921568627451
Kensington and Chelsea,-87.72549019607843,-38.92156862745098,-25.372549019607842,-83.13725490196079,-74.88235294117646,32.645161290322584
Kingston upon Thames,-81.19607843137256,-35.03921568627451,16.633333333333333,-75.2156862745098,-72.50980392156863,31.454545454545453
